Date,AMZN,BJ,COST,DG,DLTR,HD,KR,LOW,PSMT,SFM,TGT,WMT,^GSPC,^IXIC
2025-12-05,229.52999877929688,91.33000183105469,892.1648559570312,131.18576049804688,122.44000244140625,349.6324768066406,62.070091247558594,246.17739868164062,127.41450500488281,85.54000091552734,90.40766143798828,114.42218780517578,6870.39990234375,23578.130859375
2025-12-08,226.88999938964844,91.47000122070312,885.0249633789062,123.15823364257812,120.33000183105469,344.99847412109375,62.73325729370117,242.56109619140625,123.78091430664062,83.5,91.26083374023438,112.8814468383789,6846.509765625,23545.900390625
2025-12-09,227.9199981689453,90.36000061035156,885.9423828125,124.41687774658203,119.68000030517578,340.423583984375,62.258155822753906,240.43092346191406,125.19453430175781,83.23999786376953,91.81001281738281,114.37248992919922,6840.509765625,23576.490234375
2025-12-10,231.77999877929688,89.61000061035156,871.9517822265625,124.76374053955078,124.23999786376953,346.2013244628906,60.61509323120117,243.9283447265625,125.38367462158203,80.5,92.79067993164062,112.50372314453125,6886.68017578125,23654.150390625
2025-12-11,230.27999877929688,92.37000274658203,881.9934692382812,131.4929962158203,129.97000122070312,352.4424743652344,61.5751953125,245.791015625,130.43089294433594,79.91999816894531,95.09524536132812,114.8297348022461,6901.0,23593.859375
2025-12-12,226.19000244140625,93.16000366210938,881.9834594726562,132.0182647705078,129.8699951171875,354.60174560546875,62.545196533203125,245.00828552246094,127.94213104248047,79.54000091552734,95.21292114257812,116.23915100097656,6827.41015625,23195.169921875
2025-12-15,222.5399932861328,91.44000244140625,858.1407470703125,131.74075317382812,131.1699981689453,351.9790954589844,62.02060317993164,246.48455810546875,129.27609252929688,80.38999938964844,95.67383575439453,116.32880401611328,6816.509765625,23057.41015625
2025-12-16,222.55999755859375,93.61000061035156,857.9712524414062,133.30662536621094,131.14999389648438,347.72955322265625,61.46631622314453,244.19586181640625,128.19100952148438,79.2300033569336,95.78170776367188,114.9642105102539,6800.259765625,23111.4609375
2025-12-17,221.27000427246094,95.91000366210938,860.2249145507812,135.74461364746094,128.35000610351562,351.742431640625,63.158870697021484,245.672119140625,125.21443939208984,80.94999694824219,96.6937255859375,115.2032699584961,6721.43017578125,22693.3203125
2025-12-18,226.75999450683594,94.38999938964844,855.1790771484375,135.45721435546875,126.9000015258789,350.0071716308594,62.1492805480957,245.42442321777344,123.5917739868164,80.1500015258789,97.1350326538086,114.37654113769531,6774.759765625,23006.359375
2025-12-19,227.35000610351562,94.66000366210938,853.214599609375,136.05184936523438,127.83999633789062,340.1573791503906,61.773155212402344,238.22149658203125,124.09947967529297,81.62999725341797,96.11514282226562,113.90839385986328,6834.5,23307.619140625
2025-12-22,228.42999267578125,94.18000030517578,847.6104736328125,136.28970336914062,122.48999786376953,341.52789306640625,61.654380798339844,239.8364715576172,124.59723663330078,80.25,93.35945892333984,112.15534973144531,6878.490234375,23428.830078125
2025-12-23,232.13999938964844,93.56999969482422,852.386962890625,133.0489501953125,119.52999877929688,340.1278076171875,61.664276123046875,239.91571044921875,123.2532958984375,78.12000274658203,92.47686767578125,110.4620590209961,6909.7900390625,23561.83984375
2025-12-24,232.3800048828125,94.4800033569336,869.4089965820312,134.23822021484375,122.01000213623047,342.46453857421875,62.28784942626953,240.75787353515625,123.5021743774414,79.68000030517578,94.66374969482422,111.16925811767578,6932.0498046875,23613.310546875
2025-12-26,232.52000427246094,93.8499984741211,870.894775390625,136.60684204101562,123.94999694824219,344.87030029296875,62.604583740234375,242.23414611816406,124.38817596435547,79.5999984741211,97.6253662109375,111.29874420166016,6929.93994140625,23593.099609375
2025-12-29,232.07000732421875,91.47000122070312,865.4003295898438,136.28970336914062,123.93000030517578,342.572998046875,62.070091247558594,241.58023071289062,123.2532958984375,80.68000030517578,96.2033920288086,112.08561706542969,6905.740234375,23474.349609375
2025-12-30,232.52999877929688,90.08999633789062,863.2164916992188,134.60491943359375,124.0199966430664,341.48846435546875,62.040401458740234,240.9362030029297,122.42704010009766,80.1500015258789,95.54634857177734,111.47803497314453,6896.240234375,23419.080078125
2025-12-31,230.82000732421875,90.02999877929688,859.915771484375,131.5821990966797,123.01000213623047,339.27001953125,61.842437744140625,238.9348602294922,122.11842346191406,79.66999816894531,95.86016082763672,110.97004699707031,6845.5,23241.990234375
